,id,Name,Year,Rating,Genre,Actors,Director,One-line
1072,1072,Arsenic and Old Lace,1944,7.9,"Comedy, Crime, Thriller            ","['Cary Grant', 'Priscilla Lane', 'Raymond Massey', 'Jack Carson']",Frank Capra,A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
1073,1073,"Welcome, or No Trespassing",1964,7.9,"Comedy, Family            ","['Evgeniy Evstigneev', 'Arina Aleynikova', 'Ilya Rutberg', 'Lidiya Smirnova']",Elem Klimov,A satirical comedy about the excessive restrictions that children face during their vacation in a Young Pioneer camp.
1074,1074,Bullitt,1968,7.4,"Action, Crime, Thriller            ","['Steve McQueen', 'Jacqueline Bisset', 'Robert Vaughn', 'Don Gordon']",Peter Yates,A nonconformist San Francisco cop is determined to find the underworld kingpin who killed the witness under his protection.
1075,1075,The Raven,1943,7.8,"Crime, Drama, Mystery            ","['Pierre Fresnay', 'Ginette Leclerc', 'Micheline Francey', 'Héléna Manson']",Henri-Georges Clouzot,"A French village doctor becomes the target of poison-pen letters sent to village leaders, accusing him of affairs and practicing abortion."
1076,1076,Hunger,1966,7.7,"Biography, Drama            ","['Per Oscarsson', 'Gunnel Lindblom', 'Birgitte Federspiel', 'Knud Rex']",Henning Carlsen,"In 1890, Pontus, the starving writer, wanders the streets of Christiania, in search of love and a chance to get his work published. All he meets is defeat and suffering while his sense of ...                <a href=""/title/tt0061042/plotsummary"">See full summary</a> »"
1077,1077,The Green Mile,1999,8.6,"Crime, Drama, Fantasy            ","['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']",Frank Darabont,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution."
1078,1078,The Magnificent Seven,1960,7.7,"Action, Adventure, Drama            ","['Yul Brynner', 'Steve McQueen', 'Charles Bronson', 'Eli Wallach']",John Sturges,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
1079,1079,"Sex, Lies, and Videotape",1989,7.2,Drama            ,"['James Spader', 'Andie MacDowell', 'Peter Gallagher', 'Laura San Giacomo']",Steven Soderbergh,A sexually repressed woman's husband is having an affair with her sister. The arrival of a visitor with a rather unusual fetish changes everything.
1080,1080,The Right Stuff,1983,7.8,"Adventure, Biography, Drama            ","['Sam Shepard', 'Scott Glenn', 'Ed Harris', 'Dennis Quaid']",Philip Kaufman,"The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred."
1081,1081,The Princess Bride,1987,8,"Adventure, Comedy, Family            ","['Cary Elwes', 'Mandy Patinkin', 'Robin Wright', 'Chris Sarandon']",Rob Reiner,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
1082,1082,Blazing Saddles,1974,7.7,"Comedy, Western            ","['Cleavon Little', 'Gene Wilder', 'Slim Pickens', 'Harvey Korman']",Mel Brooks,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
1083,1083,Tosun Pasa,1976,8.9,Comedy            ,"['Kemal Sunal', 'Müjde Ar', 'Adile Nasit', 'Sener Sen']",Kartal Tibet,"Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter,...                <a href=""/title/tt0253828/plotsummary"">See full summary</a> »"
1084,1084,The Fly,1986,7.6,"Drama, Horror, Sci-Fi            ","['Jeff Goldblum', 'Geena Davis', 'John Getz', 'Joy Boushel']",David Cronenberg,A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.
1085,1085,Zorba the Greek,1964,7.6,"Comedy, Drama            ","['Anthony Quinn', 'Alan Bates', 'Irene Papas', 'Lila Kedrova']",Michael Cacoyannis,"An uptight English writer travelling to Crete, on a matter of business, finds his life changed forever when he meets the gregarious Alexis Zorba."
1086,1086,1900,1976,7.6,"Drama, History            ","['Robert De Niro', 'Gérard Depardieu', 'Dominique Sanda', 'Francesca Bertini']",Bernardo Bertolucci,The epic tale of a class struggle in twentieth-century Italy as seen through the eyes of two childhood friends on opposing sides.
1087,1087,Casino,1995,8.2,"Crime, Drama            ","['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']",Martin Scorsese,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite."
1088,1088,The Fabulous Baron Munchausen,1962,7.7,"Animation, Adventure, Comedy            ","['Milos Kopecký', 'Rudolf Jelínek', 'Jana Brejchová', 'Karel Höger']",Karel Zeman,"The outrageous Baron Munchausen tells of his many adventures, from meeting the Man in the Moon to defeating a Turkish army all by himself."
1089,1089,Speedy,1928,7.6,"Action, Comedy, Family            ","['Harold Lloyd', 'Ann Christy', 'Bert Woodruff', 'Babe Ruth']",Ted Wilde,"Harold ""Speedy"" Swift, a fan of <a href=""/name/nm0751899"">Babe Ruth</a> and the New York Yankees, saves from extinction the city's last horse-drawn trolley, operated by his girlfriend's grandfather."
1090,1090,Wanda,1970,7.1,"Crime, Drama            ","['Barbara Loden', 'Michael Higgins', 'Dorothy Shupenes', 'Peter Shupenes']",Barbara Loden,"Wanda, a lonely housewife, drifts through mining country until she meets a petty thief who takes her in."
1091,1091,The Diamond Arm,1969,8.3,"Adventure, Comedy, Crime            ","['Yuriy Nikulin', 'Nina Grebeshkova', 'Andrey Mironov', 'Anatoliy Papanov']",Leonid Gaidai,An ordinary Soviet citizen accidentally intervenes into a huge operation of international criminal group that trades illegally obtained jewelry.
1092,1092,Giant,1956,7.6,"Drama, Western            ","['Elizabeth Taylor', 'Rock Hudson', 'James Dean', 'Carroll Baker']",George Stevens,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.
1093,1093,A Woman Is a Woman,1961,7.3,"Comedy, Drama, Romance            ","['Anna Karina', 'Jean-Claude Brialy', 'Jean-Paul Belmondo', 'Henri Attal']",Jean-Luc Godard,An exotic dancer is desperate to become a mother and accepts her reluctant boyfriend's suggestion that she be impregnated by his best friend.
